timestamp,lat,lon,confidence,city
0.0,23.04066441,72.50230834,0.6937949061393738,Unknown location
0.04,23.04066441,72.50230834,0.573339581489563,Unknown location
0.08,23.04066441,72.50230834,0.5930712223052979,Unknown location
0.56,23.04054442,72.5046065,0.5382830500602722,Unknown location
0.6,23.04054442,72.5046065,0.5036386847496033,Unknown location
0.68,23.03991447,72.509594,0.574023962020874,Unknown location
0.76,23.03991447,72.509594,0.5343851447105408,Unknown location
0.84,23.03991447,72.509594,0.869860827922821,Unknown location
0.88,23.04108438,72.512919,0.845058262348175,Unknown location
0.92,23.04108438,72.512919,0.5480059385299683,Unknown location
0.96,23.04108438,72.512919,0.7259044051170349,Unknown location
1.04,23.04108438,72.512919,0.5285110473632812,Unknown location
1.08,23.04108438,72.512919,0.5374339818954468,Unknown location
1.12,23.04108438,72.512919,0.5708796381950378,Unknown location
1.16,23.04108438,72.512919,0.523833692073822,Unknown location
1.24,23.04108438,72.512919,0.5839806795120239,Unknown location
1.28,23.04726372,72.51595061,0.7239854335784912,Unknown location
1.32,23.04726372,72.51595061,0.6820091009140015,Unknown location
1.32,23.04726372,72.51595061,0.5747042298316956,Unknown location
1.44,23.04726372,72.51595061,0.8004449009895325,Unknown location
1.44,23.04726372,72.51595061,0.5999681353569031,Unknown location
1.48,23.04726372,72.51595061,0.8323162794113159,Unknown location
1.48,23.04726372,72.51595061,0.6394392848014832,Unknown location
1.52,23.04726372,72.51595061,0.7890174388885498,Unknown location
1.52,23.04726372,72.51595061,0.6081996560096741,Unknown location
1.56,23.04726372,72.51595061,0.7982500195503235,Unknown location
1.56,23.04726372,72.51595061,0.5890714526176453,Unknown location
1.6,23.05310461,72.51838328,0.5390726327896118,Unknown location
1.6,23.05310461,72.51838328,0.5165941119194031,Unknown location
1.64,23.05310461,72.51838328,0.6923395991325378,Unknown location
1.68,23.05310461,72.51838328,0.7463554739952087,Unknown location
1.68,23.05310461,72.51838328,0.6448743939399719,Unknown location
1.72,23.05310461,72.51838328,0.7582949995994568,Unknown location
1.72,23.05310461,72.51838328,0.705928385257721,Unknown location
1.76,23.05769374,72.51976869,0.5456689596176147,Unknown location
1.8,23.05769374,72.51976869,0.6985188722610474,Unknown location
1.8,23.05769374,72.51976869,0.6968674063682556,Unknown location
1.84,23.05769374,72.51976869,0.7455547451972961,Unknown location
1.84,23.05769374,72.51976869,0.580553412437439,Unknown location
1.88,23.05769374,72.51976869,0.752849280834198,Unknown location
1.92,23.07926478,72.52617067,0.7345525622367859,Unknown location
1.96,23.07926478,72.52617067,0.786043107509613,Unknown location
2.0,23.07926478,72.52617067,0.5097785592079163,Unknown location
2.04,23.07926478,72.52617067,0.5938584804534912,Unknown location
2.04,23.07926478,72.52617067,0.5319302678108215,Unknown location
2.08,23.07926478,72.52617067,0.6947749853134155,Unknown location
2.08,23.07926478,72.52617067,0.5043315887451172,Unknown location
2.12,23.11874672,72.53750976,0.6810000538825989,Unknown location
2.12,23.11874672,72.53750976,0.6064803600311279,Unknown location
2.16,23.11874672,72.53750976,0.6778315305709839,Unknown location
2.16,23.11874672,72.53750976,0.6320077776908875,Unknown location
2.2,23.11874672,72.53750976,0.7165474891662598,Unknown location
2.2,23.11874672,72.53750976,0.7020072340965271,Unknown location
2.2,23.11874672,72.53750976,0.5925942063331604,Unknown location
2.24,23.11874672,72.53750976,0.7902368903160095,Unknown location
2.24,23.11874672,72.53750976,0.7227352857589722,Unknown location
2.24,23.11874672,72.53750976,0.5185934901237488,Unknown location
2.28,23.11874672,72.53750976,0.7334755063056946,Unknown location
2.28,23.11874672,72.53750976,0.7234819531440735,Unknown location
2.32,23.11874672,72.53750976,0.7665708661079407,Unknown location
2.32,23.11874672,72.53750976,0.5489746928215027,Unknown location
2.36,23.17844365,72.58806143,0.6016342639923096,Unknown location
2.4,23.17844365,72.58806143,0.7352626323699951,Unknown location
2.4,23.17844365,72.58806143,0.6890854835510254,Unknown location
2.44,23.17844365,72.58806143,0.8738939166069031,Unknown location
2.44,23.17844365,72.58806143,0.6863353848457336,Unknown location
2.48,23.17844365,72.58806143,0.8081770539283752,Unknown location
2.48,23.17844365,72.58806143,0.6272733211517334,Unknown location
2.52,23.17844365,72.58806143,0.8767191171646118,Unknown location
2.52,23.17844365,72.58806143,0.662933886051178,Unknown location
2.56,23.17844365,72.58806143,0.740951657295227,Unknown location
2.56,23.17844365,72.58806143,0.576285183429718,Unknown location
2.6,23.17844365,72.58806143,0.9081542491912842,Unknown location
2.6,23.17844365,72.58806143,0.585879921913147,Unknown location
2.64,23.22922412,72.67526038,0.6822313070297241,Unknown location
2.68,23.22922412,72.67526038,0.5450953841209412,Unknown location
2.72,23.22922412,72.67526038,0.5477310419082642,Unknown location
2.76,23.22922412,72.67526038,0.5764223337173462,Unknown location
2.76,23.22922412,72.67526038,0.5089342594146729,Unknown location
2.8,23.22922412,72.67526038,0.5909177660942078,Unknown location
2.8,23.22922412,72.67526038,0.5291664600372314,Unknown location
2.88,23.24377858,72.70233423,0.5224196314811707,Unknown location
2.96,23.24377858,72.70233423,0.6626061201095581,Unknown location
3.0,23.24377858,72.70233423,0.5234917402267456,Unknown location
3.04,23.16155397,72.81417098,0.6300302147865295,Unknown location
3.08,23.16155397,72.81417098,0.7350113987922668,Unknown location
